hospital_id,name,facility_type,single_specialty,source,lat,lon,easting,northing
1,"Community Health Center, Avalahalli",Community health centre,False,KGIS,13.03700000024448,77.73670000030876,796829.5276006222,1442827.439500049
2,"Community Health Center, Banashankari RH UCHC",Community health centre,False,KGIS,12.923200000267324,77.56390000031436,778202.1850004015,1430035.5000000275
3,"Community Health Center, Gori Palya RH UCHC",Community health centre,False,KGIS,12.966100000012933,77.55489999960247,777177.5669003883,1434774.135500029
4,"Community Health Center, H Siddaiah Road RH UCHC",Community health centre,False,KGIS,12.956799999713395,77.58240000040612,780173.2379004206,1433774.7893000308
5,"Community Health Center, Hosahalli RH UCHC",Community health centre,False,KGIS,12.977200000051146,77.54279999960006,775851.8246003755,1435989.6157000272
6,"Community Health Center, Kadugondanahalli",Community health centre,False,KGIS,13.02109999993536,77.6186999998816,784040.8464004563,1440932.3370000345
7,"Community Health Center, Kengeri",Community health centre,False,KGIS,12.910000000168033,77.48380000006917,769519.8915003218,1428488.7982000217
8,"Community Health Center, R.C Pura RH UCHC",Community health centre,False,KGIS,12.990799999960716,77.56510000020293,778257.3119003959,1437519.1984000285
9,"Community Health Center, Ulsoor RH UCHC",Community health centre,False,KGIS,12.97349999988562,77.62649999967674,784941.7802004716,1435672.1619000353
10,Bowring and Lady Curzon,District hospital,False,KGIS,12.982170899579383,77.60208830002804,782281.9693004399,1436604.773500032
11,ESIC Model Hospital Rajajinagar,District hospital,False,KGIS,12.990991300296097,77.55116119969,776744.137200381,1437525.1773000273
12,HSIS Goshiya,District hospital,False,KGIS,12.987536200091554,77.60272529962894,782345.0499004395,1437199.3617000324
13,Indiranagar General Hospital,District hospital,False,KGIS,12.977789700070712,77.64424310022815,786862.9901004953,1436166.9042000382
14,Jayanagar General Hospital,District hospital,False,KGIS,12.926305999766951,77.59278300021488,781334.6512004354,1430410.8800000327
15,KC General Hospital,District hospital,False,KGIS,12.996395899662371,77.56712170010772,778470.5110003966,1438140.8009000279
16,Leprosy hospital Bangalore Urban,District hospital,True,KGIS,12.975248826222481,77.5646233596884,778222.897000398,1435797.37350003
17,Rajiv Gandhi Institute of Chest Diseases,District hospital,True,KGIS,12.938493999621345,77.59071999961617,781097.0018004307,1431757.6790000296
18,Vanivilas Hospital,District hospital,False,KGIS,12.961452899752087,77.57182060026841,779019.5557004069,1434278.2135000292
19,Victoria Hospital,District hospital,False,KGIS,12.963394099641175,77.57163070033674,778996.7760004073,1434492.8711000283
20,"Indira Gandhi Institute of Child Health Hospital, Bangalore",Specialty hospital,True,KGIS,12.937318100245145,77.59201609975466,781239.0368004311,1431628.9467000307
21,"Institute of Nephro-Urology, Bangalore",Specialty hospital,True,KGIS,12.961923999985364,77.57286689990273,779132.6134004074,1434331.5027000278
