name,reason
Bagalkote District Hospital FRU,outside Bengaluru
Bellary District Hospital FRU,outside Bengaluru
VIMS Bellary Medical College,outside Bengaluru
Bidar District Hospital,outside Bengaluru
Chikkaballapur District Hospital FRU,outside Bengaluru
Chickmagalur District Hospital FRU,outside Bengaluru
Chitradurga District Hospital FRU,outside Bengaluru
Gadag District Hospital FRU,outside Bengaluru
Haveri District Hospital FRU,outside Bengaluru
Gulbarga District Hospital FRU,outside Bengaluru
Raichur District Hospital,outside Bengaluru
Shimoga District Hospital,outside Bengaluru
Shikaripura District Hospital FRU,outside Bengaluru
Uttara Kannada District Hospital FRU,outside Bengaluru
Bijapur District Hospital FRU,outside Bengaluru
Belgaum District Hospital,outside Bengaluru
Chamarajnagar District Hospital FRU,outside Bengaluru
Davanagere District Hospital,outside Bengaluru
Davangere Women And Children District Hospital FRU,outside Bengaluru
Dharwad District Hospital FRU,outside Bengaluru
Hassan District Hospital,outside Bengaluru
Kodagu District Hospital FRU,outside Bengaluru
Kolar District Hospital FRU,outside Bengaluru
Koppal District Hospital FRU,outside Bengaluru
Mandya District Hospital,outside Bengaluru
Cheluvamba Hospital Mysore District Hospital,outside Bengaluru
KR Hospital Mysore District Hospital,outside Bengaluru
Ramanagara District Hospital FRU,outside Bengaluru
Tumkur District Hospital FRU,outside Bengaluru
Udupi District Hospital FRU,outside Bengaluru
Yadgir District Hospital FRU,outside Bengaluru
Lady Goshan Hospital Mangalore District Hospital FRU,outside Bengaluru
Wenlock Hospital Mangalore District Hospital,outside Bengaluru
Hubli KIMS District Hospital,outside Bengaluru
"Anekal Taluk Hospital, (FRU)",outside Bengaluru
"Badami Taluk Hospital, (FRU)",outside Bengaluru
"Bilagi Taluk Hospital, (FRU)",outside Bengaluru
"Mudhol Taluk Hospital, (FRU)",outside Bengaluru
"Hungund Taluk Hospital, (FRU)",outside Bengaluru
"Jamkhandi Taluk Hospital, (FRU)",outside Bengaluru
"Adagali Taluk Hospital, (FRU)",outside Bengaluru
"Hagribommanahalli Taluk Hospital, (FRU)",outside Bengaluru
"Hospet Taluk Hospital, (FRU)",outside Bengaluru
"Kudilgi Taluk Hospital, (FRU)",outside Bengaluru
"Siragppa Taluk Hospital, (FRU)",outside Bengaluru
"Sandur Taluk Hospital, (FRU)",outside Bengaluru
"Hoskote Taluk Hospital, (FRU)",outside Bengaluru
"Devanahalli Taluk Hospital, (FRU)",outside Bengaluru
"Doddaballapur Taluk Hospital, (FRU)",outside Bengaluru
"Nelamangala Taluk Hospital, (FRU)",outside Bengaluru
"Basavakalyan Taluk Hospital, (FRU)",outside Bengaluru
"Humnabad Taluk Hospital, (FRU)",outside Bengaluru
"Aurad Taluk Hospital, (FRU)",outside Bengaluru
"Bhalki Taluk Hospital, (FRU)",outside Bengaluru
"Bagepalli Taluk Hospital, (FRU)",outside Bengaluru
"Chintamani Taluk Hospital, (FRU)",outside Bengaluru
"Gouribidanur Taluk Hospital, (FRU)",outside Bengaluru
