pattern_id,route_id,direction_id,n_stops,n_trips,headway_min,run_time_min,first_dep_s,last_dep_s,route_short_name
0,991,0,13,98,9.795918367346939,34.983333333333334,19200,81000,89-C
1,991,1,12,101,9.504950495049505,34.983333333333334,18000,79200,89-C
2,998,1,7,40,24.0,25.0,25500,78600,150
3,1324,0,42,128,7.5,90.0,16500,79200,290-E
4,999,0,28,17,56.470588235294116,70.0,25500,81000,13-C
5,1324,1,38,127,7.559055118110236,89.98333333333333,15000,78600,290-E
6,1325,0,45,29,33.10344827586207,94.0,35400,72600,290-E SBS-PTH
7,999,1,28,19,50.526315789473685,70.0,21600,75600,13-C
8,1325,1,41,27,35.55555555555556,94.0,21960,56160,290-E SBS-PTH
9,1326,0,49,1,960.0,89.98333333333333,41700,41700,290-Z
10,1326,1,45,1,960.0,90.0,34500,34500,290-Z
11,1328,0,9,3,320.0,19.0,21660,31860,PTH-JLOW
12,1328,1,8,1,960.0,19.0,74700,74700,PTH-JLOW
13,1330,0,29,1,960.0,40.0,33600,33600,402-D JLOW-VSD-SBS
14,1331,0,32,3,320.0,70.0,36300,56700,290-T SBS-AGLO
15,1331,1,28,2,480.0,69.98333333333333,42300,52200,290-T SBS-AGLO
16,1333,0,29,1,960.0,84.98333333333333,63000,63000,285-B
17,1333,1,32,1,960.0,79.98333333333333,28800,28800,285-B
18,1334,0,28,2,480.0,70.0,19800,69600,285-B RMGH-KBS
19,1335,0,60,2,480.0,135.0,28200,72300,226-VB
20,1335,1,59,1,960.0,120.0,20700,20700,226-VB
21,1337,0,63,2,480.0,134.99166666666667,27000,68700,226-Y
22,1337,1,62,2,480.0,132.5,18900,60300,226-Y
23,1340,1,38,1,960.0,90.0,30600,30600,227 SBS-KMT FLY-RMH
24,1344,0,44,1,960.0,84.0,40800,40800,501-C HBLB-D12G
25,1345,1,10,1,960.0,14.983333333333333,59700,59700,VLO1-KGR
26,1347,0,62,2,480.0,127.48333333333333,23400,68400,298-MK
27,1347,1,63,2,480.0,120.0,16800,60000,298-MK
28,1348,0,60,33,29.09090909090909,114.98333333333333,17400,73200,298-MP
29,1348,1,60,32,30.0,115.0,18000,74700,298-MP
30,1350,0,42,3,320.0,89.98333333333333,23700,72900,227-A
31,1350,1,42,3,320.0,89.98333333333333,18900,67200,227-A
32,1352,0,49,5,192.0,104.98333333333333,26100,72000,227-BA
33,1352,1,47,5,192.0,105.0,19800,64200,227-BA
34,1353,0,50,5,192.0,89.98333333333333,17400,58800,227-B
35,1353,1,48,5,192.0,90.0,25800,72900,227-B
36,1354,1,28,1,960.0,55.0,18300,18300,227-C
37,1355,0,40,3,320.0,85.0,24600,75300,227-D
38,1355,1,38,3,320.0,85.0,19800,68700,227-D
39,1356,0,43,4,240.0,80.0,25500,75000,227-E
40,1356,1,42,4,240.0,80.0,20700,69300,227-E
41,1357,0,44,3,320.0,89.98333333333333,23700,72300,227-F
42,1000,0,40,48,20.0,99.98333333333333,17700,80100,KBS-3C
43,1357,1,40,3,320.0,90.0,18000,63900,227-F
44,1358,0,35,2,480.0,69.98333333333333,42900,58500,227-G
45,1358,1,31,1,960.0,70.0,50700,50700,227-G
46,1361,0,44,5,192.0,80.0,16500,73800,227-H
47,1361,1,41,4,240.0,85.0,21000,72900,227-H
48,1362,0,42,7,137.14285714285714,90.0,19200,69600,227-HA
49,1362,1,40,7,137.14285714285714,89.98333333333333,14700,63900,227-HA
50,1363,0,36,5,192.0,74.98333333333333,21900,72600,227-J
51,1363,1,34,5,192.0,74.98333333333333,18000,67800,227-J
52,1364,0,47,1,960.0,90.0,27300,27300,227-K
53,1364,1,44,3,320.0,90.0,21600,69000,227-K
