stop_id,stop_name,easting,northing,stop_lat,stop_lon,metres_to_hospital,nearest_hospital,direct_min,best_min,best_min_frequent_routes,best_min_general_hospitals,needs_change
21629,12th Block Nagarabhavi,772742.0646414765,1434074.779913667,12.96018,77.51398,3652.0,"Community Health Center, Hosahalli RH UCHC",33.7,33.7,33.7,33.7,False
21630,12th Block Nagarabhavi,772690.4126076645,1434138.4733115954,12.96076,77.51351,3664.0,"Community Health Center, Hosahalli RH UCHC",22.1,22.1,22.1,22.1,False
20568,14th Main HSR Layout,785899.3036879036,1429357.5470279576,12.91637,77.63472,2146.0,"St. Johns Medical College, Bangalore (South)",70.8,42.3,42.3,44.5,False
22890,18th Main Jayanagara,780925.1325162721,1430071.758629584,12.92328,77.58898,532.0,Jayanagar General Hospital,31.2,30.4,30.4,30.4,False
22891,19th Main 13th Cross HSR Layout,787750.0492124667,1429327.9358083308,12.91593,77.65176,3742.0,"St. Johns Medical College, Bangalore (South)",53.7,53.7,,53.7,False
24300,19th Main 13th Cross HSR Layout,787749.0894350207,1429315.748345737,12.91582,77.65175,3746.0,"St. Johns Medical College, Bangalore (South)",38.2,38.2,,38.2,False
29393,1st Main Kodichikkanahalli,783824.9184675475,1427362.4795504927,12.89854,77.61543,2771.0,"Sri Jayadeva Institute of Cardio-Vascular Sciences & Research Institute, Bangalore",,54.4,,65.7,True
35599,1st Main Kodichikkanahalli,783832.5986225205,1427354.8087679828,12.89847,77.6155,2782.0,"Sri Jayadeva Institute of Cardio-Vascular Sciences & Research Institute, Bangalore",,54.8,,73.9,True
22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli),773431.6013550905,1433289.0122327176,12.95302,77.52026,3626.0,"Community Health Center, Hosahalli RH UCHC",31.6,31.6,31.6,31.6,False
22897,1st Stage 3rd Block Nagarabhavi (Summanahalli),773422.0059586295,1433271.2065963922,12.95286,77.52017,3646.0,"Community Health Center, Hosahalli RH UCHC",45.8,35.8,35.8,35.8,False
35595,2nd Stage 9th Block Nagarabhavi,772220.6375892358,1435101.306457811,12.9695,77.50927,3738.0,"Community Health Center, Hosahalli RH UCHC",48.1,48.1,,48.1,False
21446,3rd Block Jayanagara,780367.3084905669,1431009.277337748,12.9318,77.58393,615.0,"Sanjay Gandhi Institute of Trauma and Orthopaedic, Bengaluru Urban",12.5,12.5,12.5,12.5,False
21447,3rd Block Jayanagara,780368.6762364825,1431196.3722959962,12.93349,77.58396,602.0,"Sanjay Gandhi Institute of Trauma and Orthopaedic, Bengaluru Urban",14.3,14.3,14.3,14.3,False
29407,4th Phase Yelahanka New Town Iyengar Bakery,778661.9169110006,1450083.1399132772,13.10426,77.57,2886.0,Bangalore North Taluk Hospital,,63.3,,63.3,True
29409,5th Block HBR Layout,785404.4978369126,1442579.3059889907,13.03585,77.63142,1642.0,"Dr. B.R. Ambedkar Medical College, Bangalore (North)",58.2,57.3,,57.3,False
20594,8th Mile Dasarahalli,771994.52309476,1443501.784173137,13.04541,77.50795,2749.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",20.6,20.6,20.6,20.6,False
38567,8th Mile Dasarahalli,771948.6183181661,1443534.5383377087,13.04571,77.50753,2707.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",,52.8,,52.8,True
20593,8th Mile Dasarahalli,771950.230602801,1443591.007839013,13.04622,77.50755,2652.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",15.8,15.8,15.8,15.8,False
35572,8th Mile Dasarahalli,771725.3828054384,1443501.3384202158,13.04543,77.50547,2704.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",33.1,33.1,,33.1,False
35570,8th Mile Dasarahalli,771943.8599404923,1443466.9684167583,13.0451,77.50748,2772.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",,38.9,38.9,38.9,True
35571,8th Mile Dasarahalli,771733.9328470705,1443514.706040859,13.04555,77.50555,2691.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",70.1,50.3,75.0,50.3,False
39687,8th Mile Dasarahalli Arrival,771919.4832579163,1443517.6463577747,13.04556,77.50726,2718.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",,,,,False
29453,A G Export Garments Nelamangala,759374.2319597553,1451686.7386854996,13.12046,77.39237,13087.0,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore (North)",87.5,87.5,,87.5,False
35538,A G Export Garments Nelamangala,759379.6346766186,1451689.0036113395,13.12048,77.39242,13083.0,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore (North)",69.5,69.5,,69.5,False
21652,A P J Abdul Kalam Statue,787924.2779046609,1436391.6268300426,12.97972,77.65404,1085.0,Indiranagar General Hospital,31.9,31.9,,31.9,False
21653,A P J Abdul Kalam Statue,787939.4180545888,1436397.3197466566,12.97977,77.65418,1101.0,Indiranagar General Hospital,34.0,34.0,,34.0,False
38855,ADMC Quarters Office,786497.8082358142,1439208.6320376191,13.0053,77.64117,1854.0,"Specialist Health System Pvt Ltd, Bengaluru Urban",54.4,54.4,,54.4,False
29450,AECS Dental College,782004.1506502512,1423670.9550161893,12.86536,77.59832,5823.0,"Sri Jayadeva Institute of Cardio-Vascular Sciences & Research Institute, Bangalore",47.1,47.1,,66.1,False
35541,AECS Dental College,782008.449942427,1423675.426443026,12.8654,77.59836,5819.0,"Sri Jayadeva Institute of Cardio-Vascular Sciences & Research Institute, Bangalore",,84.5,,84.5,True
20595,AECS Layout Cross,794919.821166218,1434830.1416097137,12.96495,77.71832,1850.0,"Vydehi Medical College, Bangalore(East)",48.5,39.7,39.7,39.7,False
20596,AECS Layout Cross,794914.2041383032,1434847.795578343,12.96511,77.71827,1841.0,"Vydehi Medical College, Bangalore(East)",22.8,22.8,22.8,22.8,False
29451,AECS Layout Singasandra,787586.764519657,1425687.3890309017,12.88306,77.64991,6072.0,"St. Johns Medical College, Bangalore (South)",,,,,False
35540,AECS Layout Singasandra,787616.3142418873,1425665.5531086554,12.88286,77.65018,6106.0,"St. Johns Medical College, Bangalore (South)",60.8,60.8,,69.8,False
39893,AET Junction,792848.5805586665,1429336.9028386043,12.91553,77.69871,6919.0,"Medihope Hospital, Bengaluru Urban",,80.6,,80.6,True
39894,AET Junction,792859.380947293,1429342.5520839945,12.91558,77.69881,6918.0,"Medihope Hospital, Bengaluru Urban",,75.8,,75.8,True
29461,AGS Layout,768974.6221864815,1433102.6071579363,12.95173,77.47919,4646.0,"Community Health Center, Kengeri",59.3,59.3,,59.3,False
35533,AGS Layout,768976.90067948,1433091.5602629886,12.95163,77.47921,4635.0,"Community Health Center, Kengeri",,90.6,,90.6,True
29462,AGS Layout Arehalli,775299.8862598628,1428817.7252628016,12.91246,77.53706,2134.0,"NU Hospitals Pvt Ltd, Bengaluru Urban",,49.2,,49.2,True
35532,AGS Layout Arehalli,775293.3717189969,1428817.6607598162,12.91246,77.537,2140.0,"NU Hospitals Pvt Ltd, Bengaluru Urban",37.3,37.3,40.3,37.3,False
23014,AGS Layout Cross,775713.5373158368,1428933.626048039,12.91347,77.54088,1704.0,"NU Hospitals Pvt Ltd, Bengaluru Urban",,52.5,68.1,52.5,True
24342,AGS Layout Cross,775713.471455138,1428940.267094501,12.91353,77.54088,1702.0,"NU Hospitals Pvt Ltd, Bengaluru Urban",57.8,48.1,,48.1,False
29463,AIR FORCE Quarters,773440.2015448019,1445019.3464954123,13.05899,77.52141,2353.0,"Sapthagiri Super Speciality Hospital, Bengaluru Urban",57.4,55.7,,55.7,False
