stop_id,stop_name,stop_lat,stop_lon,easting,northing,stop_idx
21629,12th Block Nagarabhavi,12.96018,77.51398,772742.0646414765,1434074.779913667,0
21630,12th Block Nagarabhavi,12.96076,77.51351,772690.4126076645,1434138.4733115954,1
20568,14th Main HSR Layout,12.91637,77.63472,785899.3036879036,1429357.5470279576,2
22890,18th Main Jayanagara,12.92328,77.58898,780925.1325162721,1430071.758629584,3
22891,19th Main 13th Cross HSR Layout,12.91593,77.65176,787750.0492124667,1429327.9358083308,4
24300,19th Main 13th Cross HSR Layout,12.91582,77.65175,787749.0894350207,1429315.7483457373,5
29393,1st Main Kodichikkanahalli,12.89854,77.61543,783824.9184675475,1427362.4795504927,6
35599,1st Main Kodichikkanahalli,12.89847,77.6155,783832.5986225205,1427354.8087679828,7
22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli),12.95302,77.52026,773431.6013550905,1433289.0122327176,8
22897,1st Stage 3rd Block Nagarabhavi (Summanahalli),12.95286,77.52017,773422.0059586295,1433271.2065963922,9
35595,2nd Stage 9th Block Nagarabhavi,12.9695,77.50927,772220.6375892358,1435101.306457811,10
21446,3rd Block Jayanagara,12.9318,77.58393,780367.3084905669,1431009.277337748,11
21447,3rd Block Jayanagara,12.93349,77.58396,780368.6762364825,1431196.3722959962,12
29407,4th Phase Yelahanka New Town Iyengar Bakery,13.10426,77.57,778661.9169110006,1450083.1399132772,13
29409,5th Block HBR Layout,13.03585,77.63142,785404.4978369126,1442579.3059889907,14
20594,8th Mile Dasarahalli,13.04541,77.50795,771994.52309476,1443501.784173137,15
38567,8th Mile Dasarahalli,13.04571,77.50753,771948.6183181661,1443534.5383377087,16
20593,8th Mile Dasarahalli,13.04622,77.50755,771950.230602801,1443591.0078390127,17
35572,8th Mile Dasarahalli,13.04543,77.50547,771725.3828054384,1443501.3384202158,18
35570,8th Mile Dasarahalli,13.0451,77.50748,771943.8599404923,1443466.9684167583,19
35571,8th Mile Dasarahalli,13.04555,77.50555,771733.9328470705,1443514.706040859,20
39687,8th Mile Dasarahalli Arrival,13.04556,77.50726,771919.4832579163,1443517.6463577747,21
29453,A G Export Garments Nelamangala,13.12046,77.39237,759374.2319597553,1451686.7386854996,22
35538,A G Export Garments Nelamangala,13.12048,77.39242,759379.6346766186,1451689.0036113395,23
21652,A P J Abdul Kalam Statue,12.97972,77.65404,787924.2779046609,1436391.6268300426,24
21653,A P J Abdul Kalam Statue,12.97977,77.65418,787939.4180545888,1436397.3197466566,25
38855,ADMC Quarters Office,13.0053,77.64117,786497.8082358142,1439208.6320376191,26
29450,AECS Dental College,12.86536,77.59832,782004.1506502512,1423670.9550161893,27
35541,AECS Dental College,12.8654,77.59836,782008.449942427,1423675.426443026,28
20595,AECS Layout Cross,12.96495,77.71832,794919.821166218,1434830.1416097137,29
20596,AECS Layout Cross,12.96511,77.71827,794914.2041383032,1434847.7955783433,30
29451,AECS Layout Singasandra,12.88306,77.64991,787586.764519657,1425687.3890309015,31
35540,AECS Layout Singasandra,12.88286,77.65018,787616.3142418873,1425665.5531086554,32
39893,AET Junction,12.91553,77.69871,792848.5805586665,1429336.9028386045,33
39894,AET Junction,12.91558,77.69881,792859.380947293,1429342.5520839945,34
29461,AGS Layout,12.95173,77.47919,768974.6221864815,1433102.6071579363,35
35533,AGS Layout,12.95163,77.47921,768976.90067948,1433091.5602629886,36
29462,AGS Layout Arehalli,12.91246,77.53706,775299.8862598628,1428817.7252628016,37
35532,AGS Layout Arehalli,12.91246,77.537,775293.3717189969,1428817.6607598162,38
23014,AGS Layout Cross,12.91347,77.54088,775713.5373158368,1428933.626048039,39
24342,AGS Layout Cross,12.91353,77.54088,775713.471455138,1428940.267094501,40
29463,AIR FORCE Quarters,13.05899,77.52141,773440.2015448019,1445019.3464954123,41
35531,AIR FORCE Quarters,13.05895,77.52139,773438.0753837922,1445014.8975578647,42
29474,AL Ameen Residential School,13.06983,77.80832,804562.9060590849,1446546.8685926653,43
35521,AL Ameen Residential School,13.0696,77.80836,804567.5296700052,1446521.4541427074,44
37331,AL-Agro Factory,12.98777,77.88168,812627.9035373703,1437551.2301657815,45
37332,AL-Agro Factory,12.98697,77.88059,812510.5628857433,1437461.3214156255,46
23060,AMC College,12.82938,77.58759,780878.8889602663,1419676.6747431278,47
24134,AMC College,12.83005,77.58779,780899.8677697065,1419751.0531844178,48
29549,APCO Factory,12.76209,77.47036,768217.5870460647,1412104.2854487319,49
35454,APCO Factory,12.76195,77.47044,768226.425559155,1412088.8734029955,50
29550,APMC Yard,13.10494,77.44396,764987.1441515817,1450022.6619189084,51
35453,APMC Yard,13.10488,77.44388,764978.5296346433,1450015.9372492319,52
23134,APS College,12.78276,77.49966,771378.5577329192,1414422.55654482,53
23632,APS College,12.78272,77.4995,771361.2198894509,1414417.9614697217,54
