ward_no,ward_name,ward_label,population,area_sqkm,density_per_sqkm,sample_points,points_reachable,median_min,mean_min,best_min,worst_min,share_under_30,median_direct_only,median_800m,median_frequent,median_general,straight_line_km,share_reachable,band,band_colour,people_over_45,people_over_60,crow_fly_min,penalty_ratio
139,K R Market,139-K R Market,29344,0.81197179296875,36139.186427538065,12.0,12.0,3.040521072081356,3.6068441085694563,0.6570823938521635,8.724599714610246,1.0,3.040521072081356,3.040521072081356,3.040521072081356,3.327542768551747,0.24324168576650845,1.0,Under 30 min,#2e8b7a,0,0,3.0405210720813556,1.0000000000000002
97,Dayananda Nagar,97-Dayananda Nagar,35721,0.44550487109375,80180.94148398894,7.0,7.0,3.248562675651878,3.373300921197146,0.8042291090642465,6.248741913513844,1.0,3.248562675651878,3.248562675651878,3.248562675651878,3.248562675651878,0.25988501405215025,1.0,Under 30 min,#2e8b7a,0,0,3.248562675651878,1.0
92,Shivaji Nagar,92-Shivaji Nagar,37506,0.42555355078125,88134.61885383127,6.0,6.0,3.2874163904160802,4.557646213756262,0.9421362015761424,11.556124737634402,1.0,3.2874163904160802,3.2874163904160802,3.2874163904160802,3.2874163904160802,0.26299331123328645,1.0,Under 30 min,#2e8b7a,0,0,3.287416390416081,0.9999999999999998
169,Byrasandra,169-Byrasandra,32066,0.86855881640625,36918.628185338464,13.0,13.0,3.5643459364117347,3.914179729511986,1.386097054827896,6.87909225741649,1.0,3.5643459364117347,3.5643459364117347,3.5643459364117347,3.5643459364117347,0.2851476749129388,1.0,Under 30 min,#2e8b7a,0,0,3.5643459364117347,1.0
137,Rayapuram,137-Rayapuram,36039,0.45184509765625,79759.6348548134,6.0,6.0,4.60621894182863,4.829533770369655,1.3248536250707617,8.650220526906189,1.0,4.60621894182863,4.60621894182863,4.60621894182863,4.60621894182863,0.3684975153462904,1.0,Under 30 min,#2e8b7a,0,0,4.6062189418286295,1.0000000000000002
153,Jayanagar,153-Jayanagar,38151,2.50073362109375,15255.92317318221,42.0,42.0,4.953141740778996,5.111787123891469,0.35825772852619203,10.253176303751424,1.0,4.953141740778996,4.953141740778996,4.953141740778996,11.233560280216917,0.39625133926231965,1.0,Under 30 min,#2e8b7a,0,0,4.953141740778995,1.0000000000000002
165,Ganesh Mandir ward,165-Ganesh Mandir ward,25998,1.626526703125,15983.752341754227,29.0,29.0,5.495422795963773,5.499389380298272,1.2449051881196704,10.54915872327891,1.0,5.495422795963773,5.495422795963773,5.495422795963773,5.495422795963773,0.4396338236771018,1.0,Under 30 min,#2e8b7a,0,0,5.495422795963773,1.0
107,Shivanagara,107-Shivanagara,36461,0.77947173046875,46776.55208621035,12.0,12.0,5.678080373426199,5.193988443099996,2.121924178733674,8.22259947239008,1.0,5.678080373426199,5.678080373426199,5.678080373426199,5.678080373426199,0.4556766126285092,1.0,Under 30 min,#2e8b7a,0,0,5.695957657856366,0.9968614084752704
99,Rajaji Nagar,99-Rajaji Nagar,33084,0.86295815234375,38337.896119464844,12.0,12.0,6.046190539458994,6.160549623178262,0.9700039404967418,14.828605482977704,1.0,6.046190539458994,6.046190539458994,6.046190539458994,6.046190539458994,0.4836952431567196,1.0,Under 30 min,#2e8b7a,0,0,6.046190539458995,0.9999999999999999
170,Jayanagar East,170-Jayanagar East,33927,1.0155246875,33408.34587046906,17.0,17.0,6.24086702529208,5.707046401330558,0.39804412163541447,9.376639820368585,1.0,6.24086702529208,6.24086702529208,6.24086702529208,10.421858007259447,0.4992693620233664,1.0,Under 30 min,#2e8b7a,0,0,6.24086702529208,1.0
182,Padmanabha Nagar,182-Padmanabha Nagar,41037,1.69023994140625,24278.801485342927,26.0,26.0,6.507803530202198,8.084837733823077,1.0264435378421282,20.18451217529412,1.0,6.507803530202198,6.507803530202198,6.507803530202198,6.507803530202198,0.5206242824161758,1.0,Under 30 min,#2e8b7a,0,0,6.507803530202198,1.0
105,Agrahara Dasarahalli,105-Agrahara Dasarahalli,28355,0.79370769921875,35724.73849996662,14.0,14.0,6.553688719231378,7.032786573724057,0.544430629709489,14.496040356274332,1.0,6.553688719231378,6.553688719231378,6.553688719231378,6.553688719231378,0.5252083357190207,1.0,Under 30 min,#2e8b7a,0,0,6.565104196487759,0.9982611887161686
96,Okalipuram,96-Okalipuram,38110,0.8235090204036444,46277.574447600244,12.0,12.0,6.782945335214974,6.750579801465583,2.9021147975559995,10.144222265561806,1.0,6.782945335214974,6.782945335214974,6.782945335214974,9.630728339588817,0.5426356268171979,1.0,Under 30 min,#2e8b7a,0,0,6.782945335214974,1.0
119,Dharmaraya Swamy Temple wa,119-Dharmaraya Swamy Temple wa,27076,1.10252525,24558.167715433276,19.0,19.0,6.884723845803748,7.860352978148331,0.08406295765030862,15.48893980604044,1.0,6.884723845803748,6.884723845803748,6.884723845803748,6.884723845803748,0.5532336537954436,1.0,Under 30 min,#2e8b7a,0,0,6.915420672443045,0.9955611049430991
89,Jogupalya,89-Jogupalya,33793,0.90341936328125,37405.66272263932,13.0,13.0,6.905760070501373,6.945310933327718,2.0397856033643396,11.159194578346387,1.0,6.905760070501373,6.905760070501373,6.905760070501373,6.905760070501373,0.5524608056401098,1.0,Under 30 min,#2e8b7a,0,0,6.905760070501373,1.0
120,Cottonpete,120-Cottonpete,37344,0.7569637421875,49333.93492808786,16.0,16.0,6.988908801289313,6.764858989009773,1.2773739791830925,9.965128880260114,1.0,6.988908801289313,6.988908801289313,6.988908801289313,11.154305497370371,0.559112704103145,1.0,Under 30 min,#2e8b7a,0,0,6.988908801289313,1.0
98,Prakash Nagar,98-Prakash Nagar,32913,0.56668445703125,58079.94130000463,11.0,11.0,7.121182420934149,6.819449653405707,1.7537829600622943,11.353329958530022,1.0,7.121182420934149,7.121182420934149,7.121182420934149,7.121182420934149,0.5696945936747319,1.0,Under 30 min,#2e8b7a,0,0,7.121182420934149,1.0
23,Nagavara,23-Nagavara,60483,2.07215456640625,29188.459674075388,34.0,34.0,7.2506127606529915,8.786802393465349,1.0486132846038672,21.19512685529597,1.0,7.2506127606529915,7.2506127606529915,7.2506127606529915,7.2506127606529915,0.5800490208522393,1.0,Under 30 min,#2e8b7a,0,0,7.2506127606529915,1.0
95,Subhash Nagar,95-Subhash Nagar,37693,1.317449525855277,28610.58375312711,23.0,23.0,7.352011620767998,7.259071803811872,1.959603617577366,13.823138832633509,1.0,7.352011620767998,7.352011620767998,7.352011620767998,13.081432275379777,0.5881609296614398,1.0,Under 30 min,#2e8b7a,0,0,7.352011620767998,1.0
121,Binnipete,121-Binnipete,37354,0.7742627295963554,48244.60557396799,11.0,11.0,7.926972518727437,7.06421489970894,3.572788157764406,10.732327135021881,1.0,7.926972518727437,7.926972518727437,7.926972518727437,10.555569969115705,0.634157801498195,1.0,Under 30 min,#2e8b7a,0,0,7.926972518727437,1.0
181,Kumaraswamy Layout,181-Kumaraswamy Layout,47182,1.86895483984375,25245.12577518703,30.0,30.0,7.978687315940034,8.187680152997366,1.101390918538232,19.32072598757082,1.0,7.978687315940034,7.978687315940034,7.978687315940034,7.978687315940034,0.6382949852752027,1.0,Under 30 min,#2e8b7a,0,0,7.978687315940033,1.0000000000000002
143,Vishveshwara Puram,143-Vishveshwara Puram,32462,2.464218296875,13173.345900875222,43.0,43.0,8.124599757242487,8.242190012321826,2.877195526087905,15.54809386065157,1.0,8.124599757242487,8.124599757242487,8.124599757242487,10.657381464507928,0.649967980579399,1.0,Under 30 min,#2e8b7a,0,0,8.124599757242487,1.0
80,Hoysala Nagar,80-Hoysala Nagar,35228,2.049841578125,17185.718338401166,34.0,34.0,8.236985059602938,7.937831446979311,1.4001677973481785,13.749006260000206,1.0,8.236985059602938,8.236985059602938,8.236985059602938,8.236985059602938,0.6589588047682351,1.0,Under 30 min,#2e8b7a,0,0,8.236985059602938,1.0
76,Gayithri Nagar,76-Gayithri Nagar,33236,0.64580018359375,51464.83516781963,8.0,8.0,8.260448922914849,8.314994340463508,2.38875283757113,12.822963129435404,1.0,8.260448922914849,8.260448922914849,8.260448922914849,8.260448922914849,0.6608359138331878,1.0,Under 30 min,#2e8b7a,0,0,8.260448922914849,1.0
31,Kushal Nagar,31-Kushal Nagar,41936,0.65028304296875,64488.84136444456,9.0,9.0,8.523346400434642,8.199404077432968,3.402380829977529,11.595415535034904,1.0,8.523346400434642,8.523346400434642,8.523346400434642,8.523346400434642,0.6967242281077605,1.0,Under 30 min,#2e8b7a,0,0,8.709052851347007,0.9786766191361852
136,Jagajivanaramnagar,136-Jagajivanaramnagar,38639,0.636979889412502,60659.6858742863,12.0,12.0,8.605386807580983,8.66262264630708,3.430134555323714,14.649266289565208,1.0,8.605386807580983,8.605386807580983,8.605386807580983,8.605386807580983,0.6884309446064787,1.0,Under 30 min,#2e8b7a,0,0,8.605386807580983,1.0
144,Siddapura,144-Siddapura,34879,0.6619907578125,52688.046756506235,11.0,11.0,8.738971894801479,8.315784939420963,4.3264002576148055,12.973982563467482,1.0,8.738971894801479,8.738971894801479,8.738971894801479,16.027343456394995,0.6991177515841183,1.0,Under 30 min,#2e8b7a,0,0,8.738971894801479,1.0
138,Chalavadipalya,138-Chalavadipalya,24801,0.3962128828125,62595.13780559374,6.0,6.0,8.78707245149068,8.666038711362068,5.326006480013409,11.569731580239194,1.0,8.78707245149068,8.78707245149068,8.78707245149068,8.78707245149068,0.7029657961192544,1.0,Under 30 min,#2e8b7a,0,0,8.78707245149068,1.0
108,Sriramamandir,108-Sriramamandir,33866,1.05864874609375,31989.836218066,17.0,17.0,8.898374881834439,8.15842287012431,1.6764606546527747,12.674781989878458,1.0,8.898374881834439,8.898374881834439,8.898374881834439,8.898374881834439,0.7581475838950922,1.0,Under 30 min,#2e8b7a,0,0,9.476844798688653,0.9389596506915193
