ward_no,ward_name,ward_label,population,area_sqkm,density_per_sqkm
1,Kempegowda Ward,1-Kempegowda Ward,34783,10.903719351108174,3190.012405855339
2,Chowdeswari Ward,2-Chowdeswari Ward,36602,6.513262203561477,5619.611011512155
3,Atturu,3-Atturu,58129,8.816469948210466,6593.228394296155
4,Yelahanka Satellite Town,4-Yelahanka Satellite Town,41986,4.601178743292581,9125.053022816284
5,Jakkuru,5-Jakkuru,52025,23.511326448228207,2212.7632872844806
6,Thanisandra,6-Thanisandra,71855,10.006880109185543,7180.559696527458
7,Byatarayanapura,7-Byatarayanapura,72154,10.032414957419624,7192.086880999417
8,Kodigehalli,8-Kodigehalli,47546,3.8236169232562487,12434.823088791312
9,Vidyaranyapura,9-Vidyaranyapura,57195,9.892235107991118,5781.807587023169
10,Dodda Bommasandra,10-Dodda Bommasandra,36396,4.19134313671875,8683.612582598786
11,Kuvempu Nagar,11-Kuvempu Nagar,37128,7.207825110751546,5151.0683777021795
12,Shettihalli,12-Shettihalli,61071,8.118658457152208,7522.301907675268
13,Mallasandra,13-Mallasandra,41482,1.31414125,31565.860975751275
14,Bagalakunte,14-Bagalakunte,65113,4.1819722517931055,15569.926360004298
15,T Dasarahalli,15-T Dasarahalli,33042,0.8801490548375004,37541.36849706719
16,Jalahalli,16-Jalahalli,37959,5.169349247388422,7343.0906258030545
17,J P Park,17-J P Park,49610,2.05341862993828,24159.710677939616
18,Radhakrishna Temple Ward,18-Radhakrishna Temple Ward,35122,1.9488850099237376,18021.58661037388
19,Sanjaya Nagar,19-Sanjaya Nagar,32491,1.5433906879137644,21051.701461228076
20,Ganga Nagar,20-Ganga Nagar,27361,2.26494566015625,12080.201517113866
21,Hebbala,21-Hebbala,32516,1.2274545859375,26490.593112383925
22,Vishwanath Nagenahalli,22-Vishwanath Nagenahalli,51592,1.49225975,34573.069467296154
23,Nagavara,23-Nagavara,60483,2.07215456640625,29188.459674075388
24,HBR Layout,24-HBR Layout,58967,4.611314691534338,12787.459530414246
25,Horamavu,25-Horamavu,95368,17.591625533710836,5421.215897146417
26,Ramamurthy Nagar,26-Ramamurthy Nagar,47358,7.292846262276706,6493.760912658485
27,Banasavadi,27-Banasavadi,51268,3.4515269296875,14853.715774033315
28,Kammanahalli,28-Kammanahalli,47074,1.02774205078125,45803.32191741707
29,Kacharkanahalli,29-Kacharkanahalli,33588,1.6988655,19770.841187839767
30,Kadugondanahalli,30-Kadugondanahalli,45748,0.69520505859375,65805.04476267526
31,Kushal Nagar,31-Kushal Nagar,41936,0.65028304296875,64488.84136444456
32,Kaval Bairasandra,32-Kaval Bairasandra,39334,1.5826094296875,24853.889571330837
33,Manorayanapalya,33-Manorayanapalya,47926,0.80873095703125,59260.74621395766
34,Gangenahalli,34-Gangenahalli,24308,1.096013453125,22178.55988053066
35,Aramane Nagara,35-Aramane Nagara,36738,7.473511200135906,4915.7616836557245
36,Mattikere,36-Mattikere,37036,0.9041300215385915,40963.134856394296
37,Yeshwanthpura,37-Yeshwanthpura,41107,0.7896936875992198,52054.3606280697
38,HMT Ward,38-HMT Ward,36879,5.188015868144869,7108.497918528378
39,Chokkasandra,39-Chokkasandra,59289,3.793367544567454,15629.648143351882
40,Dodda Bidarakallu,40-Dodda Bidarakallu,72794,12.867132589526818,5657.359904665205
41,Peenya Industrial Area,41-Peenya Industrial Area,57814,5.5524239580401265,10412.389334262394
42,Lakshmi Devi Nagar,42-Lakshmi Devi Nagar,41352,1.520051055060453,27204.349394932276
43,Nandini Layout,43-Nandini Layout,51200,1.41384369140625,36213.33837057687
44,Marappana Palya,44-Marappana Palya,40212,2.035977625,19750.708213210346
45,Malleswaram,45-Malleswaram,34196,1.8096598525442567,18896.368813135126
46,Jayachamarajendra  Nagar,46-Jayachamarajendra  Nagar,31449,0.8893863203125,35360.336989386
47,Devara Jeevanahalli,47-Devara Jeevanahalli,42135,1.369791828125,30760.148465533828
48,Muneshwara Nagar,48-Muneshwara Nagar,35814,0.48417982421875,73968.3857289754
49,Lingarajapura,49-Lingarajapura,37955,0.87811863671875,43223.08901428828
50,Benniganahalli,50-Benniganahalli,49094,4.9227606015625,9972.859534225046
